# Constructed from biom file
#OTU ID	CMA D3	CMA D8	CMA D14	CMA D28	CMA Donor	CMA Filter	CMA Filtrate	CMA Gavage Sol	Healthy D8	Healthy D25	Healthy Donor	Healthy Filter	Healthy Filtrate	Healthy Gavage Sol
Root;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae	0.0	0.0	0.0	0.0	0.000458752732277	0.0007310238395	0.00113221329438	0.000847167932464	0.0	3.59971202304e-05	0.00372609091662	0.0173881009394	0.00210509696603	0.00594967163015
Root;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Corynebacteriaceae	0.0	0.0	0.0	0.0	0.000323825458078	8.12248710555e-05	0.0	0.0	0.0	0.0	0.000165604040739	0.000257874378339	0.0	0.000422654268808
Root;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Dietziaceae	0.0	0.0	0.0	0.0	0.000728607280676	0.0	0.0	0.0	0.0	0.0	0.0	0.000110517590717	0.0	0.0
Root;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Geodermatophilaceae	0.0	1.00594513575e-05	1.4340001434e-05	0.0	0.0	0.0	7.3046018992e-05	0.0	0.0	0.0	0.0	7.3678393811e-05	0.0	6.50237336628e-05
Root;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Microbacteriaceae	0.0	0.0	0.0	0.0	5.39709096797e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Root;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Micrococcaceae	1.44235623314e-05	2.0118902715e-05	1.4340001434e-05	0.0	0.00167309820007	0.00203062177639	0.00127830533236	0.00221452670065	2.49687890137e-05	0.0	0.00115922828517	0.00589427150488	0.00113148961924	0.00269848494701
Root;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Micromonosporaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.50237336628e-05
Root;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Nocardiaceae	0.0	0.0	0.0	0.0	0.041449658634	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.25118668314e-05
Root;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Nocardioidaceae	0.0	0.0	1.4340001434e-05	0.0	2.69854548398e-05	0.0	3.6523009496e-05	0.000133763357758	0.0	0.0	0.0	0.0	0.0	0.0
Root;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__unclassified_Actinomycetales	0.0	0.0	0.0	0.0	0.00137625819683	0.00154327255005	0.00244704163623	0.00263067936923	0.0	0.0	4.14010101846e-05	0.0	0.0	0.000162559334157
Root;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae	0.000115388498651	0.000150891770363	0.000157740015774	0.000121013284569	0.0334349785466	0.039475287333	0.0464207450694	0.0538174576044	0.00405742821473	0.0100431965443	0.414092903867	0.431608030945	0.378128042523	0.337798296378
Root;p__Actinobacteria;c__Actinobacteria;o__Coriobacteriales;f__Coriobacteriaceae	0.000533671806263	0.000513032019234	0.000114720011472	0.000497499058786	0.00418274550018	0.00527961661861	0.00781592403214	0.00818929001382	8.73907615481e-05	0.000251979841613	0.000372609091662	0.000626266347394	0.000421019393206	0.0011379153391
Root;p__Actinobacteria;c__Actinobacteria;o__Gaiellales;f__Gaiellaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.97251906128e-05	0.0	0.0	0.0	0.0	0.0	0.0
Root;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae	0.00118273211118	0.000462734762446	0.000530580053058	0.000201688807616	0.00234773457107	0.00304593266458	0.00314097881665	0.00216993891473	0.839400749064	0.744132469402	0.34077171483	0.169128752993	0.265136962871	0.241660706158
Root;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae	0.000230776997303	0.000221307929866	0.000258120025812	0.000215134728123	0.000296840003238	0.000284287048694	0.000255661066472	0.000520190835724	0.0384394506866	0.0467962562995	0.0043057050592	0.00239454779886	0.003841801963	0.00692502763509
Root;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae	0.0	2.0118902715e-05	2.8680002868e-05	4.03377615232e-05	0.000134927274199	0.000690411403972	7.3046018992e-05	0.000193213738983	1.24843945069e-05	3.59971202304e-05	0.0	0.0	2.63137120754e-05	3.25118668314e-05
Root;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae	0.00010096493632	1.00594513575e-05	2.8680002868e-05	0.0	2.69854548398e-05	8.12248710555e-05	3.6523009496e-05	1.48625953064e-05	3.74531835206e-05	3.59971202304e-05	4.14010101846e-05	0.0	0.0	3.25118668314e-05
Root;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__unclassified_Bacteroidales	0.000259624121966	0.000100594513575	7.170000717e-05	9.4121443554e-05	2.69854548398e-05	0.000284287048694	7.3046018992e-05	5.94503812256e-05	0.000823970037453	0.000503959683225	0.000165604040739	0.000221035181433	0.00034207825698	0.000130047467326
Root;p__Bacteroidetes;c__Cytophagia;o__Cytophagales;f__Cytophagaceae	0.0	0.0	0.0	0.0	0.00259060366462	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Root;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Flavobacteriaceae	0.0	0.0	0.0	0.0	0.00582885824541	0.0	0.0	0.0	0.0	0.0	0.0	0.000147356787622	0.0	0.0
Root;p__Bacteroidetes;c__Sphingobacteriia;o__Sphingobacteriales;f__Chitinophagaceae	0.0	0.0	0.0	0.0	0.000242869093559	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Root;p__Bacteroidetes;c__Sphingobacteriia;o__Sphingobacteriales;f__Sphingobacteriaceae	0.0	0.0	0.0	0.0	0.000323825458078	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Root;p__Bacteroidetes;c__unclassified_Bacteroidetes;o__unclassified_Bacteroidetes;f__unclassified_Bacteroidetes	0.0	0.0	0.0	0.0	0.000404781822598	0.0	0.0	0.0	1.24843945069e-05	0.0	4.14010101846e-05	0.0	0.0	0.0
Root;p__Candidatus_Saccharibacteria;c__unclassified_Candidatus_Saccharibacteria;o__unclassified_Candidatus_Saccharibacteria;f__unclassified_Candidatus_Saccharibacteria	0.0	0.0	0.0	0.0	0.000836549100035	8.12248710555e-05	3.6523009496e-05	0.0	0.0	0.0	0.000372609091662	0.000847301528827	0.000315764544904	0.00143052214058
Root;p__Chlamydiae;c__Chlamydiia;o__Chlamydiales;f__unclassified_Chlamydiales	0.0	0.0	0.0	0.0	0.000188898183879	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
